|dates|Amite_Mississippi_UnitedStates.BLS_EmployedPopulation.data|Amite_Mississippi_UnitedStates.BLS_EmployedPopulation.missing|Amite_Mississippi_UnitedStates.BLS_UnemployedPopulation.data|Amite_Mississippi_UnitedStates.BLS_UnemployedPopulation.missing|Amite_Mississippi_UnitedStates.BLS_UnemploymentRate.data|Amite_Mississippi_UnitedStates.BLS_UnemploymentRate.missing|Amite_Mississippi_UnitedStates.BLS_LaborForcePopulation.data|Amite_Mississippi_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-11|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-12|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-13|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-14|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-15|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-16|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-17|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-18|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-19|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-20|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-21|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-22|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-23|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-24|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-25|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-26|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-27|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-28|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-29|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-30|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2020-12-31|4207.0|0|401.0|0|8.702256944444445|0|4608.0|0
0|2021-01-01|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-02|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-03|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-04|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-05|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-06|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-07|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-08|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-09|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-10|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-11|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-12|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-13|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-14|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-15|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-16|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-17|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-18|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-19|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-20|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-21|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-22|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-23|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-24|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-25|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-26|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-27|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-28|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-29|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-30|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-01-31|4147.0|0|347.0|0|7.72140631953716|0|4494.0|0
0|2021-02-01|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-02|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-03|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-04|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-05|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-06|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-07|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-08|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-09|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-10|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-11|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-12|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-13|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-14|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-15|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-16|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-17|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-18|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-19|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-20|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-21|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-22|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-23|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-24|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-25|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-26|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-27|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-02-28|4197.0|0|343.0|0|7.5550660792951545|0|4540.0|0
0|2021-03-01|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-02|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-03|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-04|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-05|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-06|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-07|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-08|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-09|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-10|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-11|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-12|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-13|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-14|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-15|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-16|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-17|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-18|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-19|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-20|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-21|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-22|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-23|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-24|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-25|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-26|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-27|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-28|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-29|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-30|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-03-31|4190.0|0|337.0|0|7.444223547603269|0|4527.0|0
0|2021-04-01|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-02|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-03|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-04|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-05|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-06|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-07|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-08|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-09|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-10|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-11|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-12|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-13|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-14|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-15|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-16|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-17|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-18|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-19|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-20|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-21|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-22|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-23|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-24|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-25|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-26|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-27|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-28|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-29|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-04-30|4285.0|0|355.0|0|7.650862068965517|0|4640.0|0
0|2021-05-01|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-02|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-03|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-04|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-05|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-06|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-07|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-08|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-09|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-10|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-11|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-12|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-13|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-14|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-15|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-16|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-17|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-18|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-19|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-20|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-21|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-22|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-23|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-24|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-25|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-26|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-27|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-28|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-29|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-30|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-05-31|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-01|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-02|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-03|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-04|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-05|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-06|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-07|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-08|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-09|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-10|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-11|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-12|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-13|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-14|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-15|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-16|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-17|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-18|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-19|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-20|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-21|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-22|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-23|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-24|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-25|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-26|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-27|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-28|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-29|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-06-30|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-01|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-02|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-03|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-04|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-05|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-06|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-07|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-08|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-09|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-10|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-11|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-12|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-13|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-14|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-15|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-16|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-17|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-18|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-19|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-20|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-21|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-22|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-23|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-24|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-25|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-26|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-27|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-28|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-29|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-30|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-07-31|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-01|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-02|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-03|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-04|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-05|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-06|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-07|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-08|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-09|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-10|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-11|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-12|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-13|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-14|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-15|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-16|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-17|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-18|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-19|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-20|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-21|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-22|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-23|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-24|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-25|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-26|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-27|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-28|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-29|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-30|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-08-31|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-01|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-02|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-03|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-04|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-05|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-06|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-07|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-08|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-09|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-10|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-11|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-12|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-13|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-14|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-15|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-16|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-17|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-18|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-19|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-20|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-21|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-22|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-23|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-24|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-25|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-26|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-27|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-28|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-29|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-09-30|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-10-01|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-10-02|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-10-03|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-10-04|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-10-05|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-10-06|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-10-07|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-10-08|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-10-09|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-10-10|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-10-11|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-10-12|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-10-13|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-10-14|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
0|2021-10-15|4333.0|0|372.0|0|7.9064824654622745|0|4705.0|0
