|dates|Clarke_Iowa_UnitedStates.BLS_EmployedPopulation.data|Clarke_Iowa_UnitedStates.BLS_EmployedPopulation.missing|Clarke_Iowa_UnitedStates.BLS_UnemployedPopulation.data|Clarke_Iowa_UnitedStates.BLS_UnemployedPopulation.missing|Clarke_Iowa_UnitedStates.BLS_UnemploymentRate.data|Clarke_Iowa_UnitedStates.BLS_UnemploymentRate.missing|Clarke_Iowa_UnitedStates.BLS_LaborForcePopulation.data|Clarke_Iowa_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-08|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-09|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-10|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-11|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-12|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-13|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-14|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-15|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-16|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-17|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-18|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-19|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-20|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-21|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-22|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-23|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-24|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-25|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-26|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-27|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-28|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-29|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-30|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2020-12-31|4534.0|0|194.0|0|4.10321489001692|0|4728.0|0
0|2021-01-01|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-02|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-03|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-04|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-05|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-06|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-07|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-08|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-09|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-10|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-11|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-12|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-13|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-14|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-15|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-16|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-17|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-18|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-19|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-20|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-21|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-22|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-23|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-24|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-25|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-26|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-27|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-28|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-29|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-30|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-01-31|4564.0|0|263.0|0|5.4485187487052|0|4827.0|0
0|2021-02-01|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-02|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-03|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-04|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-05|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-06|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-07|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-08|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-09|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-10|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-11|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-12|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-13|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-14|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-15|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-16|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-17|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-18|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-19|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-20|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-21|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-22|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-23|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-24|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-25|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-26|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-27|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-02-28|4597.0|0|283.0|0|5.799180327868853|0|4880.0|0
0|2021-03-01|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-02|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-03|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-04|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-05|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-06|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-07|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-08|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-09|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-10|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-11|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-12|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-13|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-14|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-15|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-16|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-17|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-18|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-19|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-20|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-21|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-22|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-23|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-24|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-25|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-26|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-27|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-28|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-29|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-30|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-03-31|4564.0|0|235.0|0|4.896853511148156|0|4799.0|0
0|2021-04-01|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-02|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-03|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-04|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-05|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-06|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-07|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-08|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-09|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-10|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-11|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-12|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-13|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-14|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-15|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-16|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-17|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-18|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-19|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-20|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-21|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-22|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-23|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-24|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-25|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-26|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-27|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-28|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-29|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-04-30|4556.0|0|191.0|0|4.023593848746577|0|4747.0|0
0|2021-05-01|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-02|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-03|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-04|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-05|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-06|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-07|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-08|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-09|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-10|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-11|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-12|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-13|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-14|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-15|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-16|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-17|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-18|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-19|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-20|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-21|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-22|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-23|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-24|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-25|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-26|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-27|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-28|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-29|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-30|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-05-31|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-01|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-02|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-03|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-04|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-05|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-06|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-07|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-08|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-09|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-10|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-11|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-12|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-13|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-14|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-15|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-16|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-17|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-18|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-19|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-20|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-21|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-22|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-23|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-24|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-25|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-26|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-27|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-28|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-29|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-06-30|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-01|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-02|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-03|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-04|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-05|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-06|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-07|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-08|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-09|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-10|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-11|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-12|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-13|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-14|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-15|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-16|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-17|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-18|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-19|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-20|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-21|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-22|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-23|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-24|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-25|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-26|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-27|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-28|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-29|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-30|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-07-31|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-01|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-02|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-03|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-04|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-05|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-06|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-07|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-08|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-09|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-10|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-11|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-12|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-13|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-14|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-15|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-16|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-17|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-18|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-19|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-20|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-21|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-22|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-23|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-24|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-25|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-26|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-27|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-28|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-29|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-30|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-08-31|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-01|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-02|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-03|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-04|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-05|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-06|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-07|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-08|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-09|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-10|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-11|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-12|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-13|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-14|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-15|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-16|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-17|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-18|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-19|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-20|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-21|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-22|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-23|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-24|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-25|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-26|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-27|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-28|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-29|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-09-30|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-10-01|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-10-02|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-10-03|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-10-04|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-10-05|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-10-06|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-10-07|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-10-08|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-10-09|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-10-10|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-10-11|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-10-12|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-10-13|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-10-14|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
0|2021-10-15|4566.0|0|193.0|0|4.055473839041816|0|4759.0|0
